benchmark_id,invoice_id,scenario,true_status,true_root_cause,expected_payment_ids,expected_settlement_ids,expected_bank_txn_ids,true_invoice_amount,true_net_settlement,true_payment_delay_days,should_auto_resolve
CASE001,INV001,GATEWAY_FEE_GST,RECONCILED,GATEWAY_FEE_GST,PAY0001,SET0001,BNK0001,90500,88364,2,True
CASE002,INV002,CLEAN,RECONCILED,CLEAN,PAY0002,SET0002,BNK0002,400000,400000,0,True
CASE003,INV003,AMOUNT_MISMATCH,UNRESOLVED,AMOUNT_MISMATCH,PAY0003,SET0003,BNK0003,162500,157500,0,False
CASE004,INV004,PARTIAL_REFUND,EXPLAINED_EXCEPTION,PARTIAL_REFUND,PAY0004,SET0004,BNK0004,498000,348600,10,True
CASE005,INV005,FUZZY_REFERENCE,RECONCILED,FUZZY_REFERENCE,PAY0005,SET0005,BNK0005,19500,19500,0,True
CASE006,INV006,FUZZY_REFERENCE,RECONCILED,FUZZY_REFERENCE,PAY0006,SET0006,BNK0006,132500,132500,0,True
CASE007,INV007,DUPLICATE_PAYMENT,EXPLAINED_EXCEPTION,DUPLICATE_PAYMENT,PAY0007|PAY0008,SET0007|SET0008,BNK0007|BNK0008,384500,769000,2,True
CASE008,INV008,FUZZY_REFERENCE,RECONCILED,FUZZY_REFERENCE,PAY0009,SET0009,BNK0009,347500,347500,2,True
CASE009,INV009,CLEAN,RECONCILED,CLEAN,PAY0010,SET0010,BNK0010,280000,280000,20,True
CASE010,INV010,GATEWAY_FEE_GST,RECONCILED,GATEWAY_FEE_GST,PAY0011,SET0011,BNK0011,485500,474042,5,True
CASE011,INV011,CLEAN,RECONCILED,CLEAN,PAY0012,SET0012,BNK0012,214000,214000,35,True
CASE012,INV012,PARTIAL_PAYMENT,EXPLAINED_EXCEPTION,PARTIAL_PAYMENT,PAY0013,SET0013,BNK0013,470500,352875,0,True
CASE013,INV013,PARTIAL_PAYMENT,EXPLAINED_EXCEPTION,PARTIAL_PAYMENT,PAY0014,SET0014,BNK0014,183000,73200,5,True
CASE014,INV014,GATEWAY_FEE_GST,RECONCILED,GATEWAY_FEE_GST,PAY0015,SET0015,BNK0015,122500,119609,-2,True
CASE015,INV015,CLEAN,RECONCILED,CLEAN,PAY0016,SET0016,BNK0016,44500,44500,20,True
CASE016,INV016,CLEAN,RECONCILED,CLEAN,PAY0017,SET0017,BNK0017,273000,273000,0,True
CASE017,INV017,CLEAN,RECONCILED,CLEAN,PAY0018,SET0018,BNK0018,286000,286000,0,True
CASE018,INV018,SETTLEMENT_DELAY,EXPLAINED_EXCEPTION,SETTLEMENT_DELAY,PAY0019,SET0019,BNK0019,411500,411500,2,True
CASE019,INV019,MISSING_PAYMENT,UNRESOLVED,MISSING_PAYMENT,,,,59500,,,False
CASE020,INV020,GATEWAY_FEE_GST,RECONCILED,GATEWAY_FEE_GST,PAY0020,SET0020,BNK0020,230500,225060,2,True
CASE021,INV021,PARTIAL_REFUND,EXPLAINED_EXCEPTION,PARTIAL_REFUND,PAY0021,SET0021,BNK0021,452000,361600,10,True
CASE022,INV022,CLEAN,RECONCILED,CLEAN,PAY0022,SET0022,BNK0022,382500,382500,2,True
CASE023,INV023,SETTLEMENT_DELAY,EXPLAINED_EXCEPTION,SETTLEMENT_DELAY,PAY0023,SET0023,BNK0023,108000,108000,0,True
CASE024,INV024,UNRESOLVED,UNRESOLVED,UNRESOLVED,PAY0024,SET0024,BNK0024,103500,103500,0,False
CASE025,INV025,CLEAN,RECONCILED,CLEAN,PAY0025,SET0025,BNK0025,423500,423500,20,True
CASE026,INV026,CHARGEBACK,EXPLAINED_EXCEPTION,CHARGEBACK,PAY0026,SET0026,BNK0026,343500,0,35,True
CASE027,INV027,CLEAN,RECONCILED,CLEAN,PAY0027,SET0027,BNK0027,95000,95000,2,True
CASE028,INV028,CLEAN,RECONCILED,CLEAN,PAY0028,SET0028,BNK0028,452500,452500,2,True
CASE029,INV029,SETTLEMENT_DELAY,EXPLAINED_EXCEPTION,SETTLEMENT_DELAY,PAY0029,SET0029,BNK0029,204000,204000,-2,True
CASE030,INV030,CLEAN,RECONCILED,CLEAN,PAY0030,SET0030,BNK0030,156000,156000,2,True
CASE031,INV031,CLEAN,RECONCILED,CLEAN,PAY0031,SET0031,BNK0031,107000,107000,0,True
CASE032,INV032,CLEAN,RECONCILED,CLEAN,PAY0032,SET0032,BNK0032,386500,386500,5,True
CASE033,INV033,CHARGEBACK,EXPLAINED_EXCEPTION,CHARGEBACK,PAY0033,SET0033,BNK0033,35500,0,5,True
CASE034,INV034,AMOUNT_MISMATCH,UNRESOLVED,AMOUNT_MISMATCH,PAY0034,SET0034,BNK0034,51000,46000,0,False
CASE035,INV035,DUPLICATE_PAYMENT,EXPLAINED_EXCEPTION,DUPLICATE_PAYMENT,PAY0035|PAY0036,SET0035|SET0036,BNK0035|BNK0036,451000,902000,0,True
CASE036,INV036,CLEAN,RECONCILED,CLEAN,PAY0037,SET0037,BNK0037,314000,314000,-2,True
CASE037,INV037,FUZZY_REFERENCE,RECONCILED,FUZZY_REFERENCE,PAY0038,SET0038,BNK0038,346500,346500,5,True
CASE038,INV038,FUZZY_REFERENCE,RECONCILED,FUZZY_REFERENCE,PAY0039,SET0039,BNK0039,114500,114500,10,True
CASE039,INV039,PARTIAL_PAYMENT,EXPLAINED_EXCEPTION,PARTIAL_PAYMENT,PAY0040,SET0040,BNK0040,145500,109125,0,True
CASE040,INV040,FUZZY_REFERENCE,RECONCILED,FUZZY_REFERENCE,PAY0041,SET0041,BNK0041,171500,171500,35,True
CASE041,INV041,CHARGEBACK,EXPLAINED_EXCEPTION,CHARGEBACK,PAY0042,SET0042,BNK0042,244500,0,5,True
CASE042,INV042,PARTIAL_PAYMENT,EXPLAINED_EXCEPTION,PARTIAL_PAYMENT,PAY0043,SET0043,BNK0043,119000,71400,0,True
CASE043,INV043,GATEWAY_FEE_GST,RECONCILED,GATEWAY_FEE_GST,PAY0044,SET0044,BNK0044,460000,449144,0,True
CASE044,INV044,CLEAN,RECONCILED,CLEAN,PAY0045,SET0045,BNK0045,234000,234000,20,True
CASE045,INV045,CLEAN,RECONCILED,CLEAN,PAY0046,SET0046,BNK0046,423000,423000,10,True
CASE046,INV046,FUZZY_REFERENCE,RECONCILED,FUZZY_REFERENCE,PAY0047,SET0047,BNK0047,428000,428000,5,True
CASE047,INV047,CLEAN,RECONCILED,CLEAN,PAY0048,SET0048,BNK0048,145000,145000,0,True
CASE048,INV048,CHARGEBACK,EXPLAINED_EXCEPTION,CHARGEBACK,PAY0049,SET0049,BNK0049,89500,0,0,True
CASE049,INV049,CLEAN,RECONCILED,CLEAN,PAY0050,SET0050,BNK0050,114000,114000,10,True
CASE050,INV050,CHARGEBACK,EXPLAINED_EXCEPTION,CHARGEBACK,PAY0051,SET0051,BNK0051,260000,0,0,True
CASE051,INV051,CLEAN,RECONCILED,CLEAN,PAY0052,SET0052,BNK0052,226500,226500,20,True
CASE052,INV052,PARTIAL_REFUND,EXPLAINED_EXCEPTION,PARTIAL_REFUND,PAY0053,SET0053,BNK0053,180500,135375,10,True
CASE053,INV053,PARTIAL_REFUND,EXPLAINED_EXCEPTION,PARTIAL_REFUND,PAY0054,SET0054,BNK0054,292000,233600,10,True
CASE054,INV054,MISSING_BANK_ENTRY,UNRESOLVED,MISSING_BANK_ENTRY,PAY0055,SET0055,,493500,493500,20,False
CASE055,INV055,GATEWAY_FEE_GST,RECONCILED,GATEWAY_FEE_GST,PAY0056,SET0056,BNK0055,28000,27339,20,True
CASE056,INV056,CLEAN,RECONCILED,CLEAN,PAY0057,SET0057,BNK0056,75000,75000,-2,True
CASE057,INV057,MISSING_PAYMENT,UNRESOLVED,MISSING_PAYMENT,,,,470000,,,False
CASE058,INV058,UNRESOLVED,UNRESOLVED,UNRESOLVED,PAY0058,SET0058,BNK0057,117500,117500,10,False
CASE059,INV059,GATEWAY_FEE_GST,RECONCILED,GATEWAY_FEE_GST,PAY0059,SET0059,BNK0058,462500,451585,20,True
CASE060,INV060,CLEAN,RECONCILED,CLEAN,PAY0060,SET0060,BNK0059,452500,452500,0,True
CASE061,INV061,MISSING_PAYMENT,UNRESOLVED,MISSING_PAYMENT,,,,22500,,,False
CASE062,INV062,SETTLEMENT_DELAY,EXPLAINED_EXCEPTION,SETTLEMENT_DELAY,PAY0061,SET0061,BNK0060,387000,387000,35,True
CASE063,INV063,UNRESOLVED,UNRESOLVED,UNRESOLVED,PAY0062,SET0062,BNK0061,91500,91500,10,False
CASE064,INV064,CLEAN,RECONCILED,CLEAN,PAY0063,SET0063,BNK0062,449500,449500,2,True
CASE065,INV065,CLEAN,RECONCILED,CLEAN,PAY0064,SET0064,BNK0063,189000,189000,2,True
CASE066,INV066,CLEAN,RECONCILED,CLEAN,PAY0065,SET0065,BNK0064,22000,22000,10,True
CASE067,INV067,CLEAN,RECONCILED,CLEAN,PAY0066,SET0066,BNK0065,152500,152500,20,True
CASE068,INV068,CLEAN,RECONCILED,CLEAN,PAY0067,SET0067,BNK0066,338000,338000,5,True
CASE069,INV069,UNRESOLVED,UNRESOLVED,UNRESOLVED,PAY0068,SET0068,BNK0067,69000,69000,20,False
CASE070,INV070,FULL_REFUND,EXPLAINED_EXCEPTION,FULL_REFUND,PAY0069,SET0069,BNK0068,145500,0,-2,True
CASE071,INV071,CLEAN,RECONCILED,CLEAN,PAY0070,SET0070,BNK0069,383000,383000,10,True
CASE072,INV072,MISSING_PAYMENT,UNRESOLVED,MISSING_PAYMENT,,,,271500,,,False
CASE073,INV073,AMOUNT_MISMATCH,UNRESOLVED,AMOUNT_MISMATCH,PAY0071,SET0071,BNK0070,207000,202000,0,False
CASE074,INV074,GATEWAY_FEE_GST,RECONCILED,GATEWAY_FEE_GST,PAY0072,SET0072,BNK0071,276000,269486,35,True
CASE075,INV075,MISSING_BANK_ENTRY,UNRESOLVED,MISSING_BANK_ENTRY,PAY0073,SET0073,,230500,230500,0,False
CASE076,INV076,CLEAN,RECONCILED,CLEAN,PAY0074,SET0074,BNK0072,170500,170500,10,True
CASE077,INV077,MISSING_PAYMENT,UNRESOLVED,MISSING_PAYMENT,,,,269500,,,False
CASE078,INV078,MISSING_BANK_ENTRY,UNRESOLVED,MISSING_BANK_ENTRY,PAY0075,SET0075,,351000,351000,2,False
CASE079,INV079,MISSING_BANK_ENTRY,UNRESOLVED,MISSING_BANK_ENTRY,PAY0076,SET0076,,161000,161000,5,False
CASE080,INV080,CLEAN,RECONCILED,CLEAN,PAY0077,SET0077,BNK0073,350000,350000,35,True
CASE081,INV081,UNRESOLVED,UNRESOLVED,UNRESOLVED,PAY0078,SET0078,BNK0074,301000,301000,2,False
CASE082,INV082,CLEAN,RECONCILED,CLEAN,PAY0079,SET0079,BNK0075,117500,117500,2,True
CASE083,INV083,CLEAN,RECONCILED,CLEAN,PAY0080,SET0080,BNK0076,236000,236000,2,True
CASE084,INV084,SETTLEMENT_DELAY,EXPLAINED_EXCEPTION,SETTLEMENT_DELAY,PAY0081,SET0081,BNK0077,252000,252000,10,True
CASE085,INV085,FULL_REFUND,EXPLAINED_EXCEPTION,FULL_REFUND,PAY0082,SET0082,BNK0078,273500,0,10,True
CASE086,INV086,DUPLICATE_PAYMENT,EXPLAINED_EXCEPTION,DUPLICATE_PAYMENT,PAY0083|PAY0084,SET0083|SET0084,BNK0079|BNK0080,429000,858000,35,True
CASE087,INV087,DUPLICATE_PAYMENT,EXPLAINED_EXCEPTION,DUPLICATE_PAYMENT,PAY0085|PAY0086,SET0085|SET0086,BNK0081|BNK0082,422500,845000,0,True
CASE088,INV088,GATEWAY_FEE_GST,RECONCILED,GATEWAY_FEE_GST,PAY0087,SET0087,BNK0083,253000,247029,5,True
CASE089,INV089,PARTIAL_PAYMENT,EXPLAINED_EXCEPTION,PARTIAL_PAYMENT,PAY0088,SET0088,BNK0084,222000,111000,10,True
CASE090,INV090,CLEAN,RECONCILED,CLEAN,PAY0089,SET0089,BNK0085,214500,214500,0,True
CASE091,INV091,PARTIAL_REFUND,EXPLAINED_EXCEPTION,PARTIAL_REFUND,PAY0090,SET0090,BNK0086,408500,245100,2,True
CASE092,INV092,CLEAN,RECONCILED,CLEAN,PAY0091,SET0091,BNK0087,295000,295000,0,True
CASE093,INV093,PARTIAL_PAYMENT,EXPLAINED_EXCEPTION,PARTIAL_PAYMENT,PAY0092,SET0092,BNK0088,78000,58500,10,True
CASE094,INV094,FUZZY_REFERENCE,RECONCILED,FUZZY_REFERENCE,PAY0093,SET0093,BNK0089,323500,323500,20,True
CASE095,INV095,AMOUNT_MISMATCH,UNRESOLVED,AMOUNT_MISMATCH,PAY0094,SET0094,BNK0090,238000,233000,10,False
CASE096,INV096,CLEAN,RECONCILED,CLEAN,PAY0095,SET0095,BNK0091,142500,142500,10,True
CASE097,INV097,CLEAN,RECONCILED,CLEAN,PAY0096,SET0096,BNK0092,258000,258000,5,True
CASE098,INV098,DUPLICATE_PAYMENT,EXPLAINED_EXCEPTION,DUPLICATE_PAYMENT,PAY0097|PAY0098,SET0097|SET0098,BNK0093|BNK0094,49500,99000,10,True
CASE099,INV099,GATEWAY_FEE_GST,RECONCILED,GATEWAY_FEE_GST,PAY0099,SET0099,BNK0095,173500,169405,20,True
CASE100,INV100,FULL_REFUND,EXPLAINED_EXCEPTION,FULL_REFUND,PAY0100,SET0100,BNK0096,87000,0,0,True
