bank_txn_id,settlement_id,reference,amount,transaction_date,description
BNK0001,SET0001,BANK-SET0001,88364,2026-07-14,Settlement credit - ALPHA RTL PVT LTD
BNK0002,SET0002,BANK-SET0002,400000,2026-07-21,Settlement credit - NOVA TECH PVT LTD
BNK0003,SET0003,BANK-SET0003,157500,2026-08-06,Settlement credit - HORIZON FOODS LLP
BNK0004,SET0004,BANK-SET0004,348600,2026-09-04,Settlement credit - BLUEPEAK LOGISTICS PVT LTD
BNK0005,,VERTEX CONSULTING LLP SETTLEMENT 19500,19500,2026-07-19,Settlement credit - VERTEX CONSULTING LLP
BNK0006,,GREENCART COMMERCE PVT LTD SETTLEMENT 132500,132500,2026-07-11,Settlement credit - GREENCART COMMERCE PVT LTD
BNK0007,SET0007,BANK-SET0007,384500,2026-05-30,Settlement credit - ORBIT SYSTEMS PVT LTD
BNK0008,SET0008,BANK-SET0008,384500,2026-05-30,Settlement credit - ORBIT SYSTEMS PVT LTD
BNK0009,,CEDAR HEALTHCARE PVT LTD SETTLEMENT 347500,347500,2026-06-05,Settlement credit - CEDAR HEALTHCARE PVT LTD
BNK0010,SET0010,BANK-SET0010,280000,2026-08-09,Settlement credit - NIMBUS LEARNING PVT LTD
BNK0011,SET0011,BANK-SET0011,474042,2026-06-19,Settlement credit - URBANNEST INTERIORS LLP
BNK0012,SET0012,BANK-SET0012,214000,2026-07-31,Settlement credit - SILVERLINE MANUFACTURING PVT LTD
BNK0013,SET0013,BANK-SET0013,352875,2026-07-28,Settlement credit - ASTER MOBILITY PVT LTD
BNK0014,SET0014,BANK-SET0014,73200,2026-06-15,Settlement credit - BRIGHTGRID ENERGY PVT LTD
BNK0015,SET0015,BANK-SET0015,119609,2026-08-14,Settlement credit - PIXELCRAFT MEDIA LLP
BNK0016,SET0016,BANK-SET0016,44500,2026-07-06,Settlement credit - PRIMELEAF CONSUMER PRODUCTS PVT LTD
BNK0017,SET0017,BANK-SET0017,273000,2026-06-11,Settlement credit - CLOUDARC SOLNS PVT LTD
BNK0018,SET0018,BANK-SET0018,286000,2026-06-14,Settlement credit - METROMART RTL LLP
BNK0019,SET0019,BANK-SET0019,411500,2026-07-10,Settlement credit - NORTHSTAR COMPONENTS PVT LTD
BNK0020,SET0020,BANK-SET0020,225060,2026-08-12,Settlement credit - ZENITH BUSINESS SOLNS LLP
BNK0021,SET0021,BANK-SET0021,361600,2026-07-26,Settlement credit - ALPHA RTL PVT LTD
BNK0022,SET0022,BANK-SET0022,382500,2026-07-10,Settlement credit - NOVA TECH PVT LTD
BNK0023,SET0023,BANK-SET0023,108000,2026-06-23,Settlement credit - HORIZON FOODS LLP
BNK0024,SET0024,BANK-SET0024,100500,2026-08-10,Settlement credit - BLUEPEAK LOGISTICS PVT LTD
BNK0025,SET0025,BANK-SET0025,423500,2026-08-02,Settlement credit - VERTEX CONSULTING LLP
BNK0026,SET0026,BANK-SET0026,0,2026-07-13,Settlement credit - GREENCART COMMERCE PVT LTD
BNK0027,SET0027,BANK-SET0027,95000,2026-06-19,Settlement credit - ORBIT SYSTEMS PVT LTD
BNK0028,SET0028,BANK-SET0028,452500,2026-06-16,Settlement credit - CEDAR HEALTHCARE PVT LTD
BNK0029,SET0029,BANK-SET0029,204000,2026-07-12,Settlement credit - NIMBUS LEARNING PVT LTD
BNK0030,SET0030,BANK-SET0030,156000,2026-07-17,Settlement credit - URBANNEST INTERIORS LLP
BNK0031,SET0031,BANK-SET0031,107000,2026-06-06,Settlement credit - SILVERLINE MANUFACTURING PVT LTD
BNK0032,SET0032,BANK-SET0032,386500,2026-08-20,Settlement credit - ASTER MOBILITY PVT LTD
BNK0033,SET0033,BANK-SET0033,0,2026-06-14,Settlement credit - BRIGHTGRID ENERGY PVT LTD
BNK0034,SET0034,BANK-SET0034,46000,2026-08-06,Settlement credit - PIXELCRAFT MEDIA LLP
