expense_id,category,vendor,amount,due_date,priority,status
EXP001,GST,Vendor 01,42000,2026-10-05,LOW,SCHEDULED
EXP002,RENT,Vendor 02,287000,2026-09-16,LOW,SCHEDULED
EXP003,SALARY,Vendor 03,115000,2026-09-16,LOW,SCHEDULED
EXP004,LOGISTICS,Vendor 04,20000,2026-09-14,LOW,SCHEDULED
EXP005,SALARY,Vendor 05,190000,2026-09-20,MEDIUM,SCHEDULED
EXP006,CLOUD,Vendor 06,224000,2026-10-08,HIGH,SCHEDULED
EXP007,GST,Vendor 07,149000,2026-09-21,LOW,SCHEDULED
EXP008,SALARY,Vendor 08,209000,2026-09-21,MEDIUM,SCHEDULED
EXP009,SOFTWARE,Vendor 09,217000,2026-10-02,HIGH,SCHEDULED
EXP010,CLOUD,Vendor 10,75000,2026-10-13,CRITICAL,SCHEDULED
EXP011,CLOUD,Vendor 11,298000,2026-10-18,CRITICAL,SCHEDULED
EXP012,SOFTWARE,Vendor 12,229000,2026-08-26,HIGH,SCHEDULED
EXP013,CLOUD,Vendor 13,103000,2026-10-15,CRITICAL,SCHEDULED
EXP014,CLOUD,Vendor 14,177000,2026-09-06,HIGH,SCHEDULED
EXP015,RENT,Vendor 15,182000,2026-09-19,LOW,SCHEDULED
EXP016,LOGISTICS,Vendor 16,225000,2026-09-07,MEDIUM,SCHEDULED
EXP017,SALARY,Vendor 17,250000,2026-10-13,CRITICAL,SCHEDULED
EXP018,VENDOR,Vendor 18,36000,2026-10-07,MEDIUM,SCHEDULED
EXP019,SOFTWARE,Vendor 19,45000,2026-09-04,CRITICAL,SCHEDULED
EXP020,SALARY,Vendor 20,136000,2026-10-08,HIGH,SCHEDULED
EXP021,SALARY,Vendor 21,88000,2026-10-13,HIGH,SCHEDULED
EXP022,CLOUD,Vendor 22,68000,2026-08-29,HIGH,SCHEDULED
EXP023,SOFTWARE,Vendor 23,141000,2026-09-19,MEDIUM,SCHEDULED
EXP024,VENDOR,Vendor 24,68000,2026-08-31,HIGH,SCHEDULED
EXP025,SALARY,Vendor 25,23000,2026-09-09,MEDIUM,SCHEDULED
EXP026,SOFTWARE,Vendor 26,202000,2026-09-26,LOW,SCHEDULED
EXP027,SOFTWARE,Vendor 27,111000,2026-10-20,CRITICAL,SCHEDULED
EXP028,SOFTWARE,Vendor 28,134000,2026-09-27,CRITICAL,SCHEDULED
EXP029,LOGISTICS,Vendor 29,164000,2026-10-04,CRITICAL,SCHEDULED
EXP030,VENDOR,Vendor 30,31000,2026-10-10,MEDIUM,SCHEDULED
EXP031,CLOUD,Vendor 31,199000,2026-09-24,CRITICAL,SCHEDULED
EXP032,SOFTWARE,Vendor 32,184000,2026-09-22,CRITICAL,SCHEDULED
EXP033,CLOUD,Vendor 33,260000,2026-10-14,CRITICAL,SCHEDULED
EXP034,RENT,Vendor 34,245000,2026-09-17,HIGH,SCHEDULED
EXP035,GST,Vendor 35,277000,2026-09-17,MEDIUM,SCHEDULED
EXP036,LOGISTICS,Vendor 36,285000,2026-09-29,LOW,SCHEDULED
EXP037,CLOUD,Vendor 37,147000,2026-09-19,MEDIUM,SCHEDULED
EXP038,GST,Vendor 38,54000,2026-10-14,MEDIUM,SCHEDULED
EXP039,CLOUD,Vendor 39,134000,2026-10-16,LOW,SCHEDULED
EXP040,VENDOR,Vendor 40,204000,2026-09-26,MEDIUM,SCHEDULED
