invoice_id,customer_id,customer_name,invoice_amount,issue_date,due_date,payment_policy,currency
INV001,C001,Alpha Retail Pvt Ltd,90500,2026-06-25,2026-07-10,FULL_ONLY,INR
INV002,C002,Nova Technologies Pvt Ltd,400000,2026-07-04,2026-07-19,FULL_ONLY,INR
INV003,C003,Horizon Foods LLP,162500,2026-07-20,2026-08-04,FULL_ONLY,INR
INV004,C004,BluePeak Logistics Pvt Ltd,498000,2026-07-09,2026-08-23,INSTALLMENTS_ALLOWED,INR
INV005,C005,Vertex Consulting LLP,19500,2026-07-02,2026-07-17,FULL_ONLY,INR
INV006,C006,GreenCart Commerce Pvt Ltd,132500,2026-06-09,2026-07-09,FULL_ONLY,INR
INV007,C007,Orbit Systems Pvt Ltd,384500,2026-05-11,2026-05-26,FULL_ONLY,INR
INV008,C008,Cedar Healthcare Pvt Ltd,347500,2026-05-17,2026-06-01,INSTALLMENTS_ALLOWED,INR
INV009,C009,Nimbus Learning Pvt Ltd,280000,2026-06-03,2026-07-18,FULL_ONLY,INR
INV010,C010,UrbanNest Interiors LLP,485500,2026-05-28,2026-06-12,FULL_ONLY,INR
INV011,C011,Silverline Manufacturing Pvt Ltd,214000,2026-06-09,2026-06-24,FULL_ONLY,INR
INV012,C012,Aster Mobility Pvt Ltd,470500,2026-06-26,2026-07-26,INSTALLMENTS_ALLOWED,INR
INV013,C013,BrightGrid Energy Pvt Ltd,183000,2026-05-09,2026-06-08,INSTALLMENTS_ALLOWED,INR
INV014,C014,PixelCraft Media LLP,122500,2026-07-15,2026-08-14,FULL_ONLY,INR
INV015,C015,PrimeLeaf Consumer Products Pvt Ltd,44500,2026-05-30,2026-06-14,FULL_ONLY,INR
INV016,C016,CloudArc Solutions Pvt Ltd,273000,2026-05-10,2026-06-09,INSTALLMENTS_ALLOWED,INR
INV017,C017,MetroMart Retail LLP,286000,2026-05-28,2026-06-12,FULL_ONLY,INR
INV018,C018,NorthStar Components Pvt Ltd,411500,2026-06-01,2026-07-01,FULL_ONLY,INR
INV019,C019,SwiftRoute Services Pvt Ltd,59500,2026-05-13,2026-05-28,FULL_ONLY,INR
INV020,C020,Zenith Business Solutions LLP,230500,2026-07-24,2026-08-08,INSTALLMENTS_ALLOWED,INR
INV021,C001,Alpha Retail Pvt Ltd,452000,2026-06-29,2026-07-14,FULL_ONLY,INR
INV022,C002,Nova Technologies Pvt Ltd,382500,2026-06-21,2026-07-06,FULL_ONLY,INR
INV023,C003,Horizon Foods LLP,108000,2026-06-01,2026-06-16,FULL_ONLY,INR
INV024,C004,BluePeak Logistics Pvt Ltd,103500,2026-06-24,2026-08-08,INSTALLMENTS_ALLOWED,INR
INV025,C005,Vertex Consulting LLP,423500,2026-06-26,2026-07-11,FULL_ONLY,INR
INV026,C006,GreenCart Commerce Pvt Ltd,343500,2026-05-07,2026-06-06,FULL_ONLY,INR
INV027,C007,Orbit Systems Pvt Ltd,95000,2026-05-31,2026-06-15,FULL_ONLY,INR
INV028,C008,Cedar Healthcare Pvt Ltd,452500,2026-05-28,2026-06-12,INSTALLMENTS_ALLOWED,INR
INV029,C009,Nimbus Learning Pvt Ltd,204000,2026-05-22,2026-07-06,FULL_ONLY,INR
INV030,C010,UrbanNest Interiors LLP,156000,2026-06-28,2026-07-13,FULL_ONLY,INR
INV031,C011,Silverline Manufacturing Pvt Ltd,107000,2026-05-20,2026-06-04,FULL_ONLY,INR
INV032,C012,Aster Mobility Pvt Ltd,386500,2026-07-14,2026-08-13,INSTALLMENTS_ALLOWED,INR
INV033,C013,BrightGrid Energy Pvt Ltd,35500,2026-05-08,2026-06-07,FULL_ONLY,INR
INV034,C014,PixelCraft Media LLP,51000,2026-07-05,2026-08-04,FULL_ONLY,INR
INV035,C015,PrimeLeaf Consumer Products Pvt Ltd,451000,2026-07-26,2026-08-10,FULL_ONLY,INR
INV036,C016,CloudArc Solutions Pvt Ltd,314000,2026-07-14,2026-08-13,INSTALLMENTS_ALLOWED,INR
INV037,C017,MetroMart Retail LLP,346500,2026-06-23,2026-07-08,FULL_ONLY,INR
INV038,C018,NorthStar Components Pvt Ltd,114500,2026-06-03,2026-07-03,FULL_ONLY,INR
INV039,C019,SwiftRoute Services Pvt Ltd,145500,2026-05-31,2026-06-15,INSTALLMENTS_ALLOWED,INR
INV040,C020,Zenith Business Solutions LLP,171500,2026-06-28,2026-07-13,INSTALLMENTS_ALLOWED,INR
INV041,C001,Alpha Retail Pvt Ltd,244500,2026-05-02,2026-05-17,FULL_ONLY,INR
INV042,C002,Nova Technologies Pvt Ltd,119000,2026-07-08,2026-07-23,INSTALLMENTS_ALLOWED,INR
INV043,C003,Horizon Foods LLP,460000,2026-05-09,2026-05-24,FULL_ONLY,INR
