payment_id,invoice_id,customer_id,amount,payment_date,payment_method,payment_status,reference
PAY0001,INV001,C001,90500,2026-07-12,NETBANKING,SUCCESS,REF-INV001-PAY0001
PAY0002,INV002,C002,400000,2026-07-19,UPI,SUCCESS,REF-INV002-PAY0002
PAY0003,INV003,C003,157500,2026-08-04,CARD,SUCCESS,REF-INV003-PAY0003
PAY0004,INV004,C004,498000,2026-09-02,UPI,SUCCESS,REF-INV004-PAY0004
PAY0005,,C005,19500,2026-07-17,NETBANKING,SUCCESS,VERTEX CONSULTING LLP 19500 0207
PAY0006,,C006,132500,2026-07-09,UPI,SUCCESS,GREENCART COMMERCE PVT LTD 132500 0906
PAY0007,INV007,C007,384500,2026-05-28,UPI,SUCCESS,REF-INV007-PAY0007
PAY0008,INV007,C007,384500,2026-05-29,CARD,SUCCESS,REF-INV007-PAY0008
PAY0009,,C008,347500,2026-06-03,CARD,SUCCESS,CEDAR HEALTHCARE PVT LTD 347500 1705
PAY0010,INV009,C009,280000,2026-08-07,BANK_TRANSFER,SUCCESS,REF-INV009-PAY0010
PAY0011,INV010,C010,485500,2026-06-17,CARD,SUCCESS,REF-INV010-PAY0011
PAY0012,INV011,C011,214000,2026-07-29,NETBANKING,SUCCESS,REF-INV011-PAY0012
PAY0013,INV012,C012,352875,2026-07-26,CARD,SUCCESS,REF-INV012-PAY0013
PAY0014,INV013,C013,73200,2026-06-13,CARD,SUCCESS,REF-INV013-PAY0014
PAY0015,INV014,C014,122500,2026-08-12,UPI,SUCCESS,REF-INV014-PAY0015
PAY0016,INV015,C015,44500,2026-07-04,NETBANKING,SUCCESS,REF-INV015-PAY0016
PAY0017,INV016,C016,273000,2026-06-09,BANK_TRANSFER,SUCCESS,REF-INV016-PAY0017
PAY0018,INV017,C017,286000,2026-06-12,BANK_TRANSFER,SUCCESS,REF-INV017-PAY0018
PAY0019,INV018,C018,411500,2026-07-03,BANK_TRANSFER,SUCCESS,REF-INV018-PAY0019
PAY0020,INV020,C020,230500,2026-08-10,BANK_TRANSFER,SUCCESS,REF-INV020-PAY0020
PAY0021,INV021,C001,452000,2026-07-24,UPI,SUCCESS,REF-INV021-PAY0021
PAY0022,INV022,C002,382500,2026-07-08,UPI,SUCCESS,REF-INV022-PAY0022
PAY0023,INV023,C003,108000,2026-06-16,BANK_TRANSFER,SUCCESS,REF-INV023-PAY0023
PAY0024,INV024,C004,103500,2026-08-08,CARD,SUCCESS,REF-INV024-PAY0024
PAY0025,INV025,C005,423500,2026-07-31,UPI,SUCCESS,REF-INV025-PAY0025
PAY0026,INV026,C006,343500,2026-07-11,UPI,SUCCESS,REF-INV026-PAY0026
PAY0027,INV027,C007,95000,2026-06-17,BANK_TRANSFER,SUCCESS,REF-INV027-PAY0027
PAY0028,INV028,C008,452500,2026-06-14,UPI,SUCCESS,REF-INV028-PAY0028
PAY0029,INV029,C009,204000,2026-07-04,BANK_TRANSFER,SUCCESS,REF-INV029-PAY0029
