settlement_id,payment_id,gross_amount,gateway_fee,gst_on_fee,refund_adjustment,chargeback_adjustment,other_adjustment,expected_net,settlement_date,reference
SET0001,PAY0001,90500,1810,326,0,0,0,88364,2026-07-14,STL-PAY0001
SET0002,PAY0002,400000,0,0,0,0,0,400000,2026-07-21,STL-PAY0002
SET0003,PAY0003,157500,0,0,0,0,0,157500,2026-08-06,STL-PAY0003
SET0004,PAY0004,498000,0,0,149400,0,0,348600,2026-09-04,STL-PAY0004
SET0005,,19500,0,0,0,0,0,19500,2026-07-19,VERTEX CONSULTING LLP-19500-170726
SET0006,,132500,0,0,0,0,0,132500,2026-07-11,GREENCART COMMERCE PVT LTD-132500-090726
SET0007,PAY0007,384500,0,0,0,0,0,384500,2026-05-30,STL-PAY0007
SET0008,PAY0008,384500,0,0,0,0,0,384500,2026-05-30,STL-PAY0008
SET0009,,347500,0,0,0,0,0,347500,2026-06-05,CEDAR HEALTHCARE PVT LTD-347500-030626
SET0010,PAY0010,280000,0,0,0,0,0,280000,2026-08-09,STL-PAY0010
SET0011,PAY0011,485500,9710,1748,0,0,0,474042,2026-06-19,STL-PAY0011
SET0012,PAY0012,214000,0,0,0,0,0,214000,2026-07-31,STL-PAY0012
SET0013,PAY0013,352875,0,0,0,0,0,352875,2026-07-28,STL-PAY0013
SET0014,PAY0014,73200,0,0,0,0,0,73200,2026-06-15,STL-PAY0014
SET0015,PAY0015,122500,2450,441,0,0,0,119609,2026-08-14,STL-PAY0015
SET0016,PAY0016,44500,0,0,0,0,0,44500,2026-07-06,STL-PAY0016
SET0017,PAY0017,273000,0,0,0,0,0,273000,2026-06-11,STL-PAY0017
SET0018,PAY0018,286000,0,0,0,0,0,286000,2026-06-14,STL-PAY0018
SET0019,PAY0019,411500,0,0,0,0,0,411500,2026-07-05,STL-PAY0019
SET0020,PAY0020,230500,4610,830,0,0,0,225060,2026-08-12,STL-PAY0020
SET0021,PAY0021,452000,0,0,90400,0,0,361600,2026-07-26,STL-PAY0021
SET0022,PAY0022,382500,0,0,0,0,0,382500,2026-07-10,STL-PAY0022
SET0023,PAY0023,108000,0,0,0,0,0,108000,2026-06-18,STL-PAY0023
SET0024,PAY0024,103500,0,0,0,0,0,103500,2026-08-10,STL-PAY0024
SET0025,PAY0025,423500,0,0,0,0,0,423500,2026-08-02,STL-PAY0025
SET0026,PAY0026,343500,0,0,0,343500,0,0,2026-07-13,STL-PAY0026
SET0027,PAY0027,95000,0,0,0,0,0,95000,2026-06-19,STL-PAY0027
SET0028,PAY0028,452500,0,0,0,0,0,452500,2026-06-16,STL-PAY0028
SET0029,PAY0029,204000,0,0,0,0,0,204000,2026-07-06,STL-PAY0029
SET0030,PAY0030,156000,0,0,0,0,0,156000,2026-07-17,STL-PAY0030
SET0031,PAY0031,107000,0,0,0,0,0,107000,2026-06-06,STL-PAY0031
SET0032,PAY0032,386500,0,0,0,0,0,386500,2026-08-20,STL-PAY0032
SET0033,PAY0033,35500,0,0,0,35500,0,0,2026-06-14,STL-PAY0033
SET0034,PAY0034,46000,0,0,0,0,0,46000,2026-08-06,STL-PAY0034
SET0035,PAY0035,451000,0,0,0,0,0,451000,2026-08-12,STL-PAY0035
SET0036,PAY0036,451000,0,0,0,0,0,451000,2026-08-12,STL-PAY0036
SET0037,PAY0037,314000,0,0,0,0,0,314000,2026-08-13,STL-PAY0037
SET0038,,346500,0,0,0,0,0,346500,2026-07-15,METROMART RTL LLP-346500-130726
SET0039,,114500,0,0,0,0,0,114500,2026-07-15,NORTHSTAR COMPONENTS PVT LTD-114500-130726
SET0040,PAY0040,109125,0,0,0,0,0,109125,2026-06-17,STL-PAY0040
SET0041,,171500,0,0,0,0,0,171500,2026-08-19,ZENITH BUSINESS SOLNS LLP-171500-170826
SET0042,PAY0042,244500,0,0,0,244500,0,0,2026-05-24,STL-PAY0042
SET0043,PAY0043,71400,0,0,0,0,0,71400,2026-07-25,STL-PAY0043
SET0044,PAY0044,460000,9200,1656,0,0,0,449144,2026-05-26,STL-PAY0044
SET0045,PAY0045,234000,0,0,0,0,0,234000,2026-07-27,STL-PAY0045
SET0046,PAY0046,423000,0,0,0,0,0,423000,2026-08-14,STL-PAY0046
SET0047,,428000,0,0,0,0,0,428000,2026-08-31,GREENCART COMMERCE PVT LTD-428000-290826
SET0048,PAY0048,145000,0,0,0,0,0,145000,2026-06-04,STL-PAY0048
SET0049,PAY0049,89500,0,0,0,89500,0,0,2026-07-27,STL-PAY0049
SET0050,PAY0050,114000,0,0,0,0,0,114000,2026-08-09,STL-PAY0050
SET0051,PAY0051,260000,0,0,0,260000,0,0,2026-07-21,STL-PAY0051
SET0052,PAY0052,226500,0,0,0,0,0,226500,2026-08-27,STL-PAY0052
SET0053,PAY0053,180500,0,0,45125,0,0,135375,2026-06-12,STL-PAY0053
SET0054,PAY0054,292000,0,0,58400,0,0,233600,2026-08-07,STL-PAY0054
SET0055,PAY0055,493500,0,0,0,0,0,493500,2026-07-01,STL-PAY0055
SET0056,PAY0056,28000,560,101,0,0,0,27339,2026-08-15,STL-PAY0056
SET0057,PAY0057,75000,0,0,0,0,0,75000,2026-07-25,STL-PAY0057
SET0058,PAY0058,117500,0,0,0,0,0,117500,2026-07-27,STL-PAY0058
SET0059,PAY0059,462500,9250,1665,0,0,0,451585,2026-08-17,STL-PAY0059
SET0060,PAY0060,452500,0,0,0,0,0,452500,2026-06-17,STL-PAY0060
SET0061,PAY0061,387000,0,0,0,0,0,387000,2026-07-14,STL-PAY0061
SET0062,PAY0062,91500,0,0,0,0,0,91500,2026-07-01,STL-PAY0062
SET0063,PAY0063,449500,0,0,0,0,0,449500,2026-06-23,STL-PAY0063
SET0064,PAY0064,189000,0,0,0,0,0,189000,2026-07-17,STL-PAY0064
SET0065,PAY0065,22000,0,0,0,0,0,22000,2026-07-10,STL-PAY0065
SET0066,PAY0066,152500,0,0,0,0,0,152500,2026-07-19,STL-PAY0066
SET0067,PAY0067,338000,0,0,0,0,0,338000,2026-07-06,STL-PAY0067
SET0068,PAY0068,69000,0,0,0,0,0,69000,2026-07-10,STL-PAY0068
SET0069,PAY0069,145500,0,0,145500,0,0,0,2026-07-29,STL-PAY0069
SET0070,PAY0070,383000,0,0,0,0,0,383000,2026-07-11,STL-PAY0070
SET0071,PAY0071,202000,0,0,0,0,0,202000,2026-06-16,STL-PAY0071
SET0072,PAY0072,276000,5520,994,0,0,0,269486,2026-07-07,STL-PAY0072
SET0073,PAY0073,230500,0,0,0,0,0,230500,2026-07-03,STL-PAY0073
SET0074,PAY0074,170500,0,0,0,0,0,170500,2026-08-30,STL-PAY0074
SET0075,PAY0075,351000,0,0,0,0,0,351000,2026-07-13,STL-PAY0075
SET0076,PAY0076,161000,0,0,0,0,0,161000,2026-08-20,STL-PAY0076
SET0077,PAY0077,350000,0,0,0,0,0,350000,2026-08-14,STL-PAY0077
SET0078,PAY0078,301000,0,0,0,0,0,301000,2026-08-06,STL-PAY0078
SET0079,PAY0079,117500,0,0,0,0,0,117500,2026-06-25,STL-PAY0079
SET0080,PAY0080,236000,0,0,0,0,0,236000,2026-07-18,STL-PAY0080
SET0081,PAY0081,252000,0,0,0,0,0,252000,2026-08-31,STL-PAY0081
SET0082,PAY0082,273500,0,0,273500,0,0,0,2026-07-03,STL-PAY0082
SET0083,PAY0083,429000,0,0,0,0,0,429000,2026-07-18,STL-PAY0083
SET0084,PAY0084,429000,0,0,0,0,0,429000,2026-07-18,STL-PAY0084
SET0085,PAY0085,422500,0,0,0,0,0,422500,2026-06-15,STL-PAY0085
SET0086,PAY0086,422500,0,0,0,0,0,422500,2026-06-15,STL-PAY0086
SET0087,PAY0087,253000,5060,911,0,0,0,247029,2026-06-23,STL-PAY0087
SET0088,PAY0088,111000,0,0,0,0,0,111000,2026-08-24,STL-PAY0088
SET0089,PAY0089,214500,0,0,0,0,0,214500,2026-07-20,STL-PAY0089
SET0090,PAY0090,408500,0,0,163400,0,0,245100,2026-06-02,STL-PAY0090
SET0091,PAY0091,295000,0,0,0,0,0,295000,2026-06-08,STL-PAY0091
SET0092,PAY0092,58500,0,0,0,0,0,58500,2026-08-09,STL-PAY0092
SET0093,,323500,0,0,0,0,0,323500,2026-08-17,PIXELCRAFT MEDIA LLP-323500-150826
SET0094,PAY0094,233000,0,0,0,0,0,233000,2026-08-06,STL-PAY0094
SET0095,PAY0095,142500,0,0,0,0,0,142500,2026-08-08,STL-PAY0095
SET0096,PAY0096,258000,0,0,0,0,0,258000,2026-07-28,STL-PAY0096
SET0097,PAY0097,49500,0,0,0,0,0,49500,2026-08-07,STL-PAY0097
SET0098,PAY0098,49500,0,0,0,0,0,49500,2026-08-07,STL-PAY0098
SET0099,PAY0099,173500,3470,625,0,0,0,169405,2026-07-19,STL-PAY0099
SET0100,PAY0100,87000,0,0,87000,0,0,0,2026-06-04,STL-PAY0100
